,titles,dates,origin,section,ID,exclusion_reason
11373,"Letters:   Toronto school boards are firing teachers who lie about sick days - and using private investigators to catch them, Dec. 14 Insider says Justin Trudeau has a $1B border plan designed to counter Trump's tariff threat, Dec. 11 Insider says Justin Trudeau has a $1B border plan designed to counter Trump's tariff threat, Dec. 11 I went undercover as an Uber Eats courier and made just $1.74 per hour online. Here's what I learned about the troubling cost of convenience, Dec. 15 'It's become uncomfortable for me': Jordan Peterson, the controversial psychologist, moves from Toronto to the U.S., Dec. 13 Toronto food banks are seeing skyrocketing use. Here's a guide to what they really need - and what you shouldn't donate, Dec. 15",2024-12-17," Toronto Star; Toronto, Ont.", Editorial,3145482215,School-board sick-leave / teachers letter
11374,Freeland has lost confidence in Trudeau,2024-12-17," Toronto Star; Toronto, Ont.", News,3145482093,Federal politics (Freeland)
11375,Provincial leaders pledge stability:   Council of the Federation members focus on U.S. trade threat amid political chaos in Ottawa,2024-12-17," Toronto Star; Toronto, Ont.", News,3145482045,Premiers / Trump tariffs
11376,School boards should spend 'spying' money on support staff for teachers,2024-12-17, The Toronto Star (Online); Toronto, opinion/letters-to-the-editor,3145481998,School-board sick-leave / teachers letter
11377,Chaos in Ottawa has Doug Ford reaching for his Captain Canada cape,2024-12-16, The Toronto Star (Online); Toronto, politics/political-opinion,3145853903,Ford / Trump (Captain Canada)
11378,Where donations to Breast Cancer Canada really go + striking Canada Post employees ordered back to work,2024-12-16, The Toronto Star (Online); Toronto, news/morning-digest,3145189054,Federal / charity digest
11379,Chrystia Freeland is out of cabinet for the first time in the Trudeau-era. A brief history of her rise in Canadian politics,2024-12-16, The Toronto Star (Online); Toronto, politics/federal,3145189053,Federal politics (Freeland)
11380,Chrystia Freeland's resignation triggers chaos and Liberal calls for Justin Trudeau to step down,2024-12-16, The Toronto Star (Online); Toronto, politics/federal,3145189047,Federal politics (Freeland)
11382,Premiers express alarm at political 'chaos' in Ottawa amid looming Trump trade threat,2024-12-16, The Toronto Star (Online); Toronto, politics/provincial,3144879538,Premiers / Trump tariffs
11383,"Letters:   Federal government orders end to Canada Post strike while commission tries to reach new contract, Dec. 13 Our leaders rarely acknowledge the grip Big Oil has on Canada. That's why what Catherine McKenna did was so striking, Dec. 12 Doug Ford warns of 'cutting off their energy' to retaliate against tariffs by Donald Trump, Dec. 11 How Toronto plans to add 56,000 residents in the Gold en Mile, Dec. 6 Tax the snowbirds in response to Trumps threats, Dec. 12 From bike lanes to carbon tax to guns - these initiatives don't stand up to critical analysis, Dec. 12",2024-12-16," Toronto Star; Toronto, Ont.", Editorial,NA,Canada Post strike letter
11385,An obsolete business model and Dickensian labour relations mar Canada Post,2024-12-16, The Toronto Star (Online); Toronto, opinion/letters-to-the-editor,3144878718,Canada Post strike letter
11389,Bending the rules:   How Canada opened its doors to an unknown number of Nazi war criminals and collaborators to live out their lives in peace,2024-12-15," Toronto Star; Toronto, Ont.", Insight,3144528317,History (Nazi war criminals)
11391,'Uncomfortable' Peterson leaves city for U.S.:   Controversial psychologist says anti-hate bill's passage could turn Canada into 'totalitarian hellhole',2024-12-15," Toronto Star; Toronto, Ont.", News,3144528286,Jordan Peterson
11393,Toronto school boards are firing teachers who lie about sick days - and using private investigators to catch them,2024-12-14, The Toronto Star (Online); Toronto, news/canada,3144364604,School-board sick-leave / PI story
11395,Rob Ford was a terrible mayor. He was also my friend:   Ford left office 10 years ago. John Filion is still grappling with the legacy he left behind,2024-12-14," Toronto Star; Toronto, Ont.", Opinion,3144297411,Toronto municipal history (Rob Ford)
11396,"Our health-care system doesn't need defending, it needs a major overhaul",2024-12-14, The Toronto Star (Online); Toronto, opinion/letters-to-the-editor,3144297052,General national health-care letter
11397,The Nobel-winning economist who's reclaiming 'freedom' from the right,2024-12-14, The Toronto Star (Online); Toronto, business,3144296991,Economics / general (Stiglitz)
11398,Pierre Poilievre's love affair with labour hits a fork in the road,2024-12-14, The Toronto Star ( Online); Toronto, politics/political-opinion,3144296790,"Federal politics (Poilievre, labour)"
11400,"Toronto mayor still believes housing crisis can be solved:   Progress is happening, she says, even if it's not visible to most Torontonians",2024-12-14," Toronto Star; Toronto, Ont.", Opinion,3144285339,Toronto municipal (housing / Chow)
11401,"Health care system is in need of a major overhaul ...[Derived Headline ] :   Canada's public health care must be defended, Dec. 6 Notre Dame Cathedral unveils its new interior 5 years after devastating fire, Nov. 30 Trudeau government adds hundreds more assault-style weapons to its gun ban, Dec. 6 In my next teacher-parent meeting, my focus will be the teacher. Here's why, Dec. 8 Pierre Poilievre could receive and make public the names of Conservatives allegedly tied to foreign meddling, former top spy says, Dec. 9",2024-12-14," Toronto Star; Toronto, Ont.", Opinion,3144285307,General national health-care letter
11403,Poilievre's love affair with labour tested,2024-12-14," Toronto Star; Toronto, Ont.", News,3144285186,"Federal politics (Poilievre, labour)"
11404,Boards hire PIs to probe misuse of sick days:   Teachers warned of surveillance as schools struggle with rising absenteeism,2024-12-14," Toronto Star; Toronto, Ont.", News,3144285056,School-board sick-leave / PI story
11406,"Toronto still lives in the shadow of Rob Ford:   At once beloved and condemned, the contentious mayor is still very much with us today.",2024-12-14," Toronto Star; Toronto, Ont.", Opinion,3144284960,Toronto political history (Rob Ford)
11407,Nobel winner wants to reclaim 'freedom' from the right wing,2024-12-14," Toronto Star; Toronto, Ont.", Business,3144284883,Economics / general (Stiglitz)
11411,"'It's become uncomfortable for me': Jordan Peterson, the controversial psychologist, moves from Toronto to the U.S.",2024-12-13, The Toronto Star (Online); Toronto, news/canada,3144400447,Jordan Peterson
11412,The GST and HST holiday tax break starts on Saturday. Here are the items that will be covered,2024-12-13, The Toronto Star (Online); Toronto, news/canada,3143996270,Federal GST holiday
11413,Open feuds just a start for Liberals,2024-12-13," Toronto Star; Toronto, Ont.", Opinion,3143676626,Federal politics (Liberal feuds)
11414,Alberta kills cash cow known as photo radar,2024-12-13," Toronto Star; Toronto, Ont.", Opinion,3143672242,Alberta (photo radar)
11415,"Rob Ford humiliated Toronto, and himself. He was also my friend. I'm still struggling with the world he created, then left behind",2024-12-13, The Toronto Star (Online); Toronto, opinion/contributors,3143671934,Toronto political history (Rob Ford)
11417,"Human rights are a pain. And, with apologies to Toronto and Doug Ford, they're supposed to be",2024-12-13, The Toronto Star (Online); Toronto, opinion/star-columnists,3143664552,Toronto municipal (refugee shelter ombudsman)
11420,"Other premiers dismiss Ford's threat to Trump:   No plans to halt energy exports to U.S. in response to t ariffs, say Alberta, Quebec, Newfoundland",2024-12-13," Toronto Star; Toronto, Ont.", News,3143664401,Premiers-collectively (energy exports dispute)
11423,"Justin Trudeau's Team Canada approach to Donald Trump looks, from the outside, like a total mess",2024-12-13, The Toronto Star (Online); Toronto, opinion/contributors,3143664091,Federal / Trump (Team Canada)
11424,Only in Alberta can politicians score points with the wackadoodle claim that we need fewer cameras to keep our roads safe,2024-12-13, The Toronto Star (Online); Toronto, opinion/star-columnists,3143664089,Alberta (photo radar)
11425,PM's 'Team Canada' approach to Trump is a total mess,2024-12-13," Toronto Star; Toronto, Ont.", Opinion,3143663982,Federal / Trump (Team Canada)
11426,Trudeau is under siege. Its MPs are openly feuding. It's only the start of troubles for the Liberal party,2024-12-13, The Toronto Star (Online); Toronto, opinion/contributors,3143663972,Federal politics (Liberal feuds)
11431,Key premiers dismiss Doug Ford's threat to stop Donald Trump 's tariffs by cutting off energy to Americans,2024-12-12, The Toronto Star (Online); Toronto, politics,3144166998,Premiers-collectively (energy exports dispute)
11435,"Trudeau government's carbon price has had 'minimal' effect on inflation and food costs, study concludes",2024-12-12, The Toronto Star (Online); Toronto, politics/federal,3143190195,Federal carbon price / inflation
11436,"Levy had 'minimal ' effect on inflation or food costs:   Climate policy has pushed up overall consumer prices by 0.5%, study finds",2024-12-12," Toronto Star; Toronto, Ont.", News,3143189900,Federal carbon price / inflation
11438,Downtown construction projects didn't always block traffic lanes,2024-12-12, The Toronto Star (Online); Toronto, opinion/letters-to-the-editor,3143189740,Toronto traffic letter
11441,"Letters:   Toronto's traffic is a nightmare. Here's what some experts say is the biggest culprit and what the city can do about it, Dec. 9 Donald Trump threatens 25% tariff on Canadian products; Doug Ford, premiers call for urgent action, Nov. 26 Trump calls Trudeau 'Governor' of the 'Great State of Canada,' Dec. 10 Trump's comment about Canada becoming 51st state was a joke, minister who attended dinner says, Dec. 3 Pierre Poilievre says it shouldn't take Donald Trump to make the Liberals sort out a fentanyl crisis, Dec. 10 As environment minister, I believed the oilsands sector would help us save the planet. I was wrong, Dec. 8",2024-12-12," Toronto Star; Toronto, Ont.", Editorial,3143188182,Toronto traffic letter
11442,'There's a wave coming:' Why Toronto's mayor still believes the housing crisis can be solved,2024-12-12, The Toronto Star (Online); Toronto, opinion/contributors,3143188178,Toronto municipal (housing / Chow)
11446,Pierre Poilievre says it shouldn't take Donald Trump to make the Liberals to sort out a fentanyl crisis,2024-12-11, The Toronto Star (Online); Toronto, politics,3143019288,"Federal politics (Poilievre, fentanyl)"
11449,Feds eye $1B plan to counter tariff issue:   Ford backs move to retaliate as premiers meet,2024-12-11," Toronto Star; Toronto, Ont.", News,3142839406,Federal border plan / tariffs
11450,GST break could cost Ottawa up to $2.7B,2024-12-11," Toronto Star; Toronto, Ont.", Business,3142836684,Federal GST holiday
11453,Liberals dismiss Trump's online taunt:   U.S. president-elect called Trudeau 'Governor' of the 'Great State of Canada' in social media post,2024-12-11," Toronto Star; Toronto, Ont.", News,3142825565,Federal / Trump ('Governor' taunt)
11454,Poilievre slams PM on illegal drugs:   Tory leader says Trudeau government's border policies 'threaten our trade relationship' with U.S.,2024-12-11," Toronto Star; Toronto, Ont.", News,3142825383,"Federal politics (Poilievre, drugs)"
11456,Insider says Justin Trudeau has a $1B border plan designed to counter Trump's tariff threat,2024-12-10, The Toronto Star (Online); Toronto, politics/federal,3142614933,Federal border plan / tariffs
11457,Donald Trump calls Justin Trudeau 'Governor' of the 'Great State of Canada',2024-12-10, The Toronto Star (Online); Toronto, politics,3142614922,Federal / Trump ('Governor' taunt)
11458,"BoC is expected to cut rates to 3.25%:   But weaker loonie, inflation have some calling for caution",2024-12-10," Toronto Star; Toronto, Ont.", Business,3142493396,Bank of Canada rates
11462,Bank of Canada expected to cut interest rates by 50 basis points Wednesday - but not every economist is thrilled,2024-12-10, The Toronto Star (Online); Toronto, business,3142492705,Bank of Canada rates
11466,A GST holiday could benefit struggling Canadians and the middle class. Just not the way Justin Trudeau's doing it,2024-12-09, The Toronto Star (Online); Toronto, opinion/contributors,3142290552,Federal GST holiday
11468,The GST/HST holiday tax break kicks in this week. Here is what is covered,2024-12-09, The Toronto Star (Online); Toronto, news/canada,3142182709,Federal GST holiday
11470,Celebrating the holidays with all your favourites just got more convenient thanks to Skip,2024-12-09, The Toronto Star (Online); Toronto, sponsored-sections,3142182278,Sponsored (Skip delivery)
11473,Toronto can end tents in parks: Here's a city that solved street homelessness - and how we can do it too,2024-12-08, The Toronto Star (Online); Toronto, news/gta,3142072600,Toronto municipal homelessness strategy (Finland model)
11476,"One of us thinks we need a federal election ASAP. The other thinks that's a terrible idea:   In a recurring feature, Susan Delacourt, a small-l liberal, and Matt Gurney, a small-c conservative, bring their different perspectives - and shared commitment to civil disagreement - to the political debates of the moment.",2024-12-08," Toronto Star; Toronto, Ont.", Insight,3142024311,Federal election debate (Delacourt/Gurney)
11479,Fight tariff threat with PR campaign,2024-12-08," Toronto Star; Toronto, Ont.", Opinion,3142024266,Trump tariffs / PR campaign
11480,How a media campaign in the U.S. could dampen Trump's love of tariffs,2024-12-08, The Toronto Star (Online); Toronto, opinion/contributors,3142024241,Trump tariffs / PR campaign
11481,A NORDIC BLUEPRINT:   Toronto's homelessness crisis surged as Helsinki's disappeared. Could 'Finland model' work here?,2024-12-08," Toronto Star; Toronto, Ont.", News,3142024101,Toronto municipal homelessness strategy (Finland model)
11484,One of us thinks we need a federal election ASAP. The other thinks that's a terrible idea,2024-12-07, The Toronto Star (Online); Toronto, politics/political-opinion,3141897457,Federal election debate (Delacourt/Gurney)
11486,Toronto's traffic is a nightmare. Here's what some experts say is the biggest culprit and what the city can do about it,2024-12-07, The Toronto Star (Online); Toronto, news/gta,3141775692,Toronto traffic analysis
11487,First Nations seek promised cash:   Groups take legal action to force Trudeau government to provide proceeds from carbon pricing,2024-12-07," Toronto Star; Toronto, Ont.", News,3141775377,Federal carbon pricing / First Nations
11489,"I thought we had an alliance. It turned out to be a sham:   Oilsands companies portray themselves as partners in the fight against climate change, writes Catherine McKenna. The truth is very different",2024-12-07," Toronto Star; Toronto, Ont.", Opinion,3141775223,"Federal / climate (oilsands, McKenna)"
11490,"Polls find Canadians anxious about Trump:   Public appears to be cool to any compromises, preferring a tough approach to threatened tariffs",2024-12-07," Toronto Star; Toronto, Ont.", News,3141775044,Trump / poll
11492,"Canadians want a tough approach to Donald Trump - but some like him better than Justin Trudeau, survey shows",2024-12-07, The Toronto Star (Online); Toronto, politics,3141774889,Trump / poll
11493,Brakes & Ladder:   How construction sites are bringing the city to a crawl,2024-12-07," Toronto Star; Toronto, Ont.", News,3141774868,Toronto traffic analysis
11494,First Nations want courts to force Trudeau government to pay them a half billion in promised carbon cash,2024-12-06, The Toronto Star (Online); Toronto, politics/federal,3141949983,Federal carbon pricing / First Nations
11496,Trump stokes rivalry north of the border,2024-12-06," Toronto Star; Toronto, Ont.", News,3141357851,Trump / rivalry
11502,Doug Ford tells Fox News that Trump's tariff threat a bad idea between friends,2024-12-05, The Toronto Star (Online); Toronto, news/canada,3141158268,Ford / Trump / Fox News
11504,City eyes changes to program:   Toronto considers giving down payment help to higher-income households,2024-12-05," Toronto Star; Toronto, Ont.", News,3140808877,Toronto municipal (housing program)
11506,Ford slams tariff ploy during Fox interview,2024-12-05," Toronto Star; Toronto, Ont.", News,3140792313,Ford / Trump / Fox News
11507,Toronto considers giving down payment help to higher earners,2024-12-05, The Toronto Star (Online); Toronto, real-estate,3140792273,Toronto municipal (housing program)
11517,"Trump s pardon hypocrisy galling Biden has pardoned his son ...[Derived Headline ] :   Biden has pardoned his son Hunter. What does that mean? Dec. 1 Poilievre accuses Trudeau of coming home empty-handed after Trump, PM hail 'productive' Florida meeting, Dec. 2 Will a rebuilt Golden Mile be a thriving neighbourhood? That might be up to our kids, Dec. 1 Postal strike a difficult yet necessary labour disruption, Dec. 3 Ontario spent highest-ever amount on government ads, auditor says, Dec. 3 'They do what they want when they want': Ontario students became ruder in class after the pandemic, study suggests, Nov. 8 Trump says he had a 'productive meeting' with Trudeau after leaders met for surprise dinner in Florida, Dec. 1",2024-12-04," Toronto Star; Toronto, Ont.", Editorial,3139095499,US / Trump (pardon) letter
11525,Postal strike a difficult yet necessary labour disruption,2024-12-03, The Toronto Star (Online); Toronto, opinion/letters-to-the-editor,3135044589,Canada Post strike letter
11526,"Relief program lacked oversight, AG says:   More than $3.5B in pandemic loans went to ineligible businesses: report",2024-12-03," Toronto Star; Toronto, Ont.", News,3135044528,Federal AG (pandemic loans)
11530,"Letters:   Canada Post presents union with 'framework' to reach deal as strike continues, Dec. 1 The border wake-up call is ringing - bring on the drones, helicopters and patrols, Dec. 1 Raise a mug to the CEO of Second Cup for doing the right thing, Dec. 1 Pay truckers' Highway 407 tolls to reduce gridlock on public highways, Ford government urged, Dec. 1 Double-digit hikes? Fear-mongering? Resignations? Just what does it take to have an honest conversation about police budgets? Nov. 30",2024-12-03," Toronto Star; Toronto, Ont.", Editorial,3135043045,Canada Post strike letter
11532,Canada launches ad campaign warning newcomers claiming asylum is 'not easy',2024-12-02, The Toronto Star (Online); Toronto, news/canada,3138956300,Federal immigration (asylum ad campaign)
11534,The consequences of Ontario's jail conditions + a snowstorm in cottage country,2024-12-02, The Toronto Star (Online); Toronto, news/morning-digest,3134879866,Ontario jail conditions / weather digest
11536,Poilievre slams Trudeau over meeting with Trump,2024-12-02," Toronto Star; Toronto, Ont.", News,3134626963,Federal politics (Poilievre / Trump)
11538,Judge slashes sentence over jail conditions:   Ruling comes amid push to keep more people in custody ahead of their trials,2024-12-02," Toronto Star; Toronto, Ont.", News,3134626534,Crime / sentencing (jail conditions)
11539,One fed up Albertan,2024-12-02, The Toronto Star (Online); Toronto, opinion/letters-to-the-editor,3134626530,Alberta / oil letter
11540,"'Nobody can even get out here':   Intense snowstorms in cottage country strand motorists, drop more than a metre of snow",2024-12-02," Toronto Star; Toronto, Ont.", News,3134626519,Weather (snowstorm)
11541,"Letters:   Sheridan College announces major program cuts and layoffs amid international student cap, Nov. 27 Trudeau government announces $250 cheques for some Canadians, plus GST cuts on food, beer, children's clothes, Nov. 21 Federal government will not send Canada Post strike to arbitration, minister says, Nov. 27 Doug Ford wants you to focus on bike lanes and beer - and pay no attention to this, his biggest failure, Nov. 26 Ontario won't support making Truth and Reconciliation Day a holiday for now: minister, Nov. 28",2024-12-02," Toronto Star; Toronto, Ont.", Editorial,3134626469,Alberta / oil letter
11542,"'Filthy, underfed and caged': Citing Toronto jail conditions, judge slashes sentence of man who 'embarked on night of terror'",2024-12-02, The Toronto Star (Online); Toronto, news/gta,3134626294,Crime / sentencing (jail conditions)
11543,"Poilievre accuses Trudeau of coming home empty-handed after Trump, PM hail 'productive' Florida meeting",2024-12-01, The Toronto Star (Online); Toronto, politics/federal,3134520628,Federal politics (Poilievre / Trump)
11546,Let's talk honestly about police budgets,2024-12-01," Toronto Star; Toronto, Ont.", News,3134456150,Municipal police budgets
11547,"Parkside camera vandalized again:   'Somebody's on a mission,' says resident after photo radar pole was cut down for a second time",2024-12-01," Toronto Star; Toronto, Ont.", News,3134456010,Toronto speed camera vandalism
11549,Photo radar camera on busy Parkside Drive vandalized a day after being repaired,2024-11-30, The Toronto Star (Online); Toronto, news/gta,3134562355,Toronto speed camera vandalism
11551,Double-digit hikes? Fear-mongering? Resignations? Just what does it take to have an honest conversation about police budgets?,2024-11-30, The Toronto Star (Online); Toronto, opinion/contributors,3134327162,Municipal police budgets
11553,The greatest political deception of our time is unfolding: Billionaires recasted as populist revolutionaries.,2024-11-30, The Toronto Star (Online); Toronto, opinion/letters-to-the-editor,3134270509,General / US (billionaires) letter
11555,PM meets with Trump in Florida:   Idea came from Trudeau's request amid tariff threat,2024-11-30," Toronto Star; Toronto, Ont.", News,3134268334,Federal / Trump (Florida meeting)
11556,Canada's weak leaders meekly bow to mad king,2024-11-30," Toronto Star; Toronto, Ont.", News,3134268297,Trump / general
11557,"The greatest political deception of our time is unfolding:   There's just one thing I'd hope to bring back from the 'decade of greed,' Nov. 23 How the 'have-mores' have convinced the 'have-nots' that the enemy is those advocating for a fairer system",2024-11-30," Toronto Star; Toronto, Ont.", Opinion,3134268254,General / US (billionaires) letter
11558,TTC set to replace aging subway fleet:   Ottawa commits $758 million to help transit agency buy new cars for Line 2,2024-11-30," Toronto Star; Toronto, Ont.", News,NA,Federal transit funding / TTC
11560,Trudeau government's 'Team Canada' approach to Donald Trump is already on shaky ground. Here's why,2024-11-29, The Toronto Star (Online); Toronto, politics,3134130137,Federal / Trump (Team Canada)
11561,Justin Trudeau must tell Donald Trump he will defend Canada's interests and retaliate if needed,2024-11-29, The Toronto Star (Online); Toronto, opinion/editorials,3133976562,Federal / Trump (retaliation)
11562,"Letters:   Donald Trump's 25 per cent tariff threat raises fears of recession in Canada, while Trudeau government won't rule out retaliation, Nov. 16 Trudeau government facing pressure to change $250 cheque plan, Nov. 26 Pierre Poilievre is trying to own Justin Trudeau for res pecting international law, Nov. 28 The left is exposing its moral inconsistencies, McQueen, Nov. 27 Consumer debt hits $2.5 trillion in second quarter, with credit card debt at its highest level in 17 years, Nov. 27",2024-11-29," Toronto Star; Toronto, Ont.", Editorial,3133976202,Trump tariff letter
11563,Ottawa abandons vow to fix HIV law:   Government had pledged to end 'over-criminalization' of those wh o don't disclose status of virus,2024-11-29," Toronto Star; Toronto, Ont.", News,3133958205,Federal (HIV law)
11564,Trudeau must be prepared to retaliate,2024-11-29," Toronto Star; Toronto, Ont.", Editorial,3133958185,Federal / Trump (retaliation)
11567,Poilievre can learn from Ford on how to handle tariff threat,2024-11-29," Toronto Star; Toronto, Ont.", News,3133958138,Ford vs Poilievre / Trump tariffs
11568,Tory leader calls GST cut a 'tax trick':   Liberal measure would drop charge on numerous items,2024-11-29," Toronto Star; Toronto, Ont.", News,3133958130,Federal GST holiday
11570,"PM, premiers have a game plan for Trump:   But their 'Team Canada' approach against threat of U.S. tariffs may already be on shaky ground",2024-11-29," Toronto Star; Toronto, Ont.", News,3133957846,Federal / premiers (Trump plan)
11571,Ottawa abandons promise to fix 'over-criminalization' of people living with HIV,2024-11-28, The Toronto Star (Online); Toronto, news,3134130649,Federal (HIV law)
11573,"When it comes to Donald Trump's tariff threat, Doug Ford is getting it right. Pierre Poilievre? Not so much",2024-11-28, The Toronto Star (Online); Toronto, politics/political-opinion,3134130151,Ford vs Poilievre / Trump tariffs
11574,'This is intimidating': Ontario defence lawyer under fire for letter asking alleged victim to refute spousal abuse allegations,2024-11-28, The Toronto Star (Online); Toronto, news/gta,3133723585,Individual IPV court case / lawyer conduct
11575,These are the best new wines in the LCBO Vintages section - and they won't last long,2024-11-28, The Toronto Star (Online); Toronto, life/food-and-drink,3133723582,Food & drink (LCBO wine picks)
11576,Trump should focus on reducing America's demand for illicit drugs,2024-11-28, The Toronto Star (Online); Toronto, opinion/letters-to-the-editor,3133628044,Trump / drugs letter
11580,Lawyer's letter to alleged victim 'intimidating':   Defence asked for help to get spousal abuse charges dropped,2024-11-28," Toronto Star; Toronto, Ont.", News,3133627192,Individual IPV court case / lawyer conduct
11581,Ottawa vows to tighten border:   Trudeau meets with premiers to forge a battle plan against Trump's threat of imposing tariffs,2024-11-28," Toron to Star; Toronto, Ont.", News,3133627060,"Federal / premiers (border, Trump)"
11583,"Letters to the editor:   Trump's 25 per cent tariff threat raises fears of recession in Canada, Nov. 16 Sheridan College announces major program cuts and layoffs amid international student cap, Nov. 26 Doug Ford's government pushes through law restricting bike lanes, Nov. 26, and Ontario proposes fast-tracking drug-consumption-site bill, Nov. 26",2024-11-28," Toronto Star; Toronto, Ont.", Letter,3133626815,Guns / Trump letter
11586,TDSB's French Immersion program has its flaws,2024-11-27, The Toronto Star (Online); Toronto, opinion/letters-to-the-editor,3133205378,TDSB French Immersion program letter
11589,"Trump sets off a storm:   Tariff threat raises fears of recession in 2025, sparks calls for retaliation",2024-11-27," Toronto Star; Toronto, Ont.", News,3133191420,Trump tariffs / recession
11590,Tories re-elected with bigger majority:   NDP poised to replace Liberals as official Opposition,2024-11-27," Toronto Star; Toronto, Ont.", News,3133191270,Nova Scotia election
11592,"Ford offers a warning for U.S.:   Proposed tariff on Canadian imports 'will hurt Americans' and bring retaliation, premier says",2024-11-27," Toronto Star; Toronto, Ont.", News,3133175200,Ford on Trump tariffs / retaliation
11594,"French education for all better than Immersion Chronic teacher shortages ...[Derived Headline ] :   Chronic teacher shortages, frustrated parents, disrupted learning: Why TDSB's French Immersion program is in chaos, Nov. 22 Doug Ford announces details of $200 cheques for 15 million Ontarians, Oct. 30 Canada Post says strike affecting Santa letters, but will make North Pole deliveries once operations resume, Nov. 24",2024-11-27," Toronto Star; Toronto, Ont.", Editorial,3133175033,TDSB French Immersion editorial
11597,'It is time for them to pay a very big price': Donald Trump vows 25% tariff on all Canadian products,2024-11-26, The Toronto Star (Online); Toronto, politics,3132996856,Trump tariffs
11598,"Donald Trump's 25% tariff threat raises fears of recession in Canada, while Trudeau government won't rule out retaliation",2024-11-26, The Toronto Star (Online); Toronto, politics/federal,3132831064,Trump tariffs / recession
11599,Doug Ford says Canada would have 'no choice' but to retaliate against Donald Trump's 25% tariff,2024-11-26, The Toronto Star (Online); Toronto, politics/provincial,3132830935,Ford on Trump tariffs / retaliation
11604,"Trump to impose 25% tariff:   President-elect says tax will remain unless Canada and Mexico change drug, immigration policies",2024-11-26," Toronto Star; Toronto, Ont.", News,3132764184,Trump tariffs
11611,More carrots recalled for possible E.coli contamination,2024-11-25, The Toronto Star (Online); Toronto, news/canada,3132598409,Food recall (carrots)
11612,"Federal Liberals just got a little less progressive:   GST 'holiday' cuts, $250 cheque offers short-term gain for long-term pain",2024-11-25," Toronto Star; Toronto, Ont.", News,3132521441,Federal (GST / $250 cheque)
11615,Crown-Indigenous relations is more than just apologies,2024-11-25," Toronto Star; Toronto, Ont.", News,3132521149,Federal (Crown-Indigenous minister)
11616,City moving homeless from here to there,2024-11-25," Toronto Star; Toronto, Ont.", News,3132521066,Toronto municipal homelessness operations
11618,How to get rid of bad immigration consultants,2024-11-25," Toronto Star; Toronto, Ont.", Editorial,3132521034,Federal immigration consultants
11621,How the government can protect the public from bad immigration consultants,2024-11-25, The Toronto Star (Online); Toronto, opinion/contributors,3132520716,Federal immigration consultants
11622,"For Gary Anandasangaree, Crown-Indigenous relations is more than just apologies, it's about 'setting the record straight'",2024-11-24, The Toronto Star (Online); Toronto, politics/political-opinion,3132655527,Federal (Crown-Indigenous minister)
11624,"Paris moves to slow down traffic, while critics call for a full stop. To Torontonians, it might feel familiar",2024-11-24, The Toronto Star (Online); Toronto, news/insight,3132362669,Paris traffic / cars
11625,Justin Trudeau or Pierre Poilievre? We disagree on who's the biggest loser in the wake of Donald Trump's election victory,2024-11-24, The Toronto Star (Online); Toronto, politics/political-opinion,3132362598,Federal politics (Trudeau/Poilievre/Trump)
11627,"PM's giveaway is incoherent, unnecessary and embarrassing",2024-11-24," Toronto Star; Toronto, Ont.", Opinion,3132269669,Federal ($250 cheque giveaway)
11628,What's the plan?:   Climate activists ask how the Conservatives would fight climate change. Pierre Poilievre's party seems in no hurry to provide a comprehensive answer,2024-11-24," Toronto Star; Toronto, Ont.", Insight,3132269664,Federal politics (Poilievre / climate)
11629,"Trudeau or Poilievre - who stands to lose more, thanks to Trump's win?:   In a recurring feature, Susan Delacourt, a small-l liberal, and Matt Gurney, a small-c conservative, bring their different perspectives - and shared commitment to civil disagreement - to the political debates of the moment.",2024-11-24," Toronto Star; Toronto, Ont.", Insight,3132269658,Federal politics (Trudeau/Poilievre/Trump)
11630,A familiar ring:   Dispute over Paris's crusade against cars comes to a boil with slashed speed limits,2024-11-24," Toronto Star; Toronto, Ont.", Insight,3132269649,Paris traffic / cars
11632,Women are still not worthy of ordination in the Catholic Church,2024-11-23, The Toronto Star (Online); Toronto, opinion/letters-to-the-editor,3132134611,Catholic Church letter
11633,The birth of 'President's Choice' and other fascinating tales for the business reader on your holiday gift list,2024-11-23, The Toronto Star (Online); Toronto, business/opinion,3132134485,Business books / gift list
11639,"Un probleme:   As the TDSB expands French Immersion programs to meet growing demand, it's also struggling with a shortage of teachers that's leaving some kids behind",2024-11-23," Toronto Star; Toronto, Ont.", News,3132033526,TDSB French Immersion program
11640,Four classics for the business reader on your gift list,2024-11-23," Toronto Star; Toronto, Ont.", Business,3132033432,Business books / gift list
11641,Canada's immigration minister weighs a crackdown + a Liberal minister steps away to clear his name,2024-11-22, The Toronto Star (Online); Toronto, news/morning-digest,3131838082,Federal immigration / digest
11644,"Justin Trudeau's shameless giveaway plan is incoherent, unnecessary and frankly embarrassing",2024-11-22, The Toronto Star (Online); Toronto, opinion/contributors,3131759248,Federal ($250 cheque giveaway)
11646,"No, Pierre Poilievre, Justin Trudeau isn't forcing us to eat bugs",2024-11-22, The Toronto Star (Online); Toronto, opinion/contributors,3131758923,Federal politics (Poilievre)
11647,Justin Trudeau handing out cheques and implementing a tax holiday isn't enough. We need to abolish the GST,2024-11-22, The Toronto Star (Online); Toronto, opinion/contributors,3131758717,Federal (GST / cheques)
11650,Trump nominates envoy to Ottawa:   Veteran politician played key role in president-elect's win in Michigan,2024-11-22," Toronto Star; Toronto, Ont.", News,3131758119,Trump / US ambassador nominee
